Designator, Value,Footprint,JLCPCB Part #
J1,x,custom:screw_terminal_02,C474881
C1,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C5,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C9,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C13,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C17,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C21,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C25,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C29,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C33,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C37,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C41,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C45,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C49,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C53,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C57,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C61,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C65,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C69,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C50,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C54,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C58,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C62,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C66,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C70,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C26,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C30,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C34,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C38,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C42,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C46,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C2,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C6,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C10,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C14,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C18,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C22,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C3,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C7,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C11,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C15,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C19,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C23,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C27,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C31,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C35,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C39,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C43,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C47,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C51,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C55,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C59,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C63,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C67,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C71,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C52,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C56,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C60,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C64,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C68,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C72,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C28,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C32,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C36,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C40,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C44,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C48,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C4,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C8,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C12,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C16,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C20,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
C24,100uF,Capacitor_SMD:C_1206_3216Metric,C15008
